Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Decision_tree,social,BorderlineSmote,0,0.84,0.98,0.84,0.91,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,1,0.84,0.19,0.71,0.30,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,0,0.81,0.98,0.81,0.89,0.78,0.81,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,1,0.81,0.17,0.74,0.28,0.78,0.81,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,0,0.84,0.98,0.85,0.91,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,1,0.84,0.20,0.71,0.31,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,0,0.85,0.98,0.86,0.92,0.74,0.85,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,1,0.85,0.19,0.62,0.30,0.74,0.85,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' criterion:', 'entropy', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,0,0.84,0.98,0.84,0.91,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,1,0.84,0.19,0.71,0.31,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'best')"
Decision_tree,social,BorderlineSmote,0,0.79,0.99,0.79,0.88,0.81,0.79,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,1,0.79,0.17,0.83,0.28,0.81,0.79,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'gini', ' splitter:', 'random')"
Decision_tree,social,BorderlineSmote,0,0.84,0.98,0.85,0.91,0.78,0.84,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' criterion:', 'entropy', ' splitter:', 'best')"
