,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
16413,69,61,22,14,93,74,30,1353,152,1214,15,10,5,1
16414,236,229,15,8,1732,1706,31,9459,16380,225,167,162,5,1
16415,27,27,9,9,447,169,287,2516,2201,1235,5,1,4,1
16416,4,2,1,1,4,2,1,18,6,2,2,1,1,1
16417,1,1,1,1,7,1,7,38,6,44,10,1,9,1
16418,30,26,5,1,427,423,12,750,716,26,15,12,3,1
16419,4,1,4,1,5,1,5,15,3,11,2,1,1,1
16420,42,8,38,4,165,38,128,1914,779,3046,91,16,75,1
16421,72,6,72,6,1244,118,1158,12059,1409,15260,129,7,124,1
16422,5,2,4,1,40,2,39,151,62,97,7,2,5,1
16423,162,8,162,8,2213,24,2193,23760,40,43588,229,1,228,1
16424,39,4,39,4,203,94,110,520,137,382,26,2,24,1
16425,2,1,2,1,250,1,250,879,8,966,11,1,10,1
16426,6,3,1,1,22,6,6,62,13,17,3,1,2,1
16427,62,45,21,4,236,89,149,638,240,398,26,24,2,1
16428,153,2,153,2,937,11,928,5620,77,18063,193,10,183,1
16429,507,3,506,2,2352,3,2350,15111,1728,27395,682,16,666,1
16430,136,3,131,1,450,6,441,1096,32,1019,9,2,7,1
16431,389,389,7,7,2807,2807,7,39289,154310,35,477,472,5,1
16432,1,1,1,1,5,4,2,40,26,23,4,2,2,1
16433,104,10,96,2,471,19,457,48164,31085,220785,151,15,136,1
16434,2,1,2,1,2,1,2,21,4,16,3,1,2,1
16435,1609,1603,7,1,5664,5630,36,49952,118038,199,282,278,4,1
16436,7,6,2,1,12,11,2,16,12,3,3,1,2,1
16437,44,44,4,4,374,362,14,965,903,628,52,43,9,1
16438,3,1,3,1,4,2,3,8,3,4,4,1,3,1
16439,73,71,3,1,400,391,10,1796,6508,24,154,153,1,1
16440,271,266,12,7,1538,351,1194,42942,15902,81739,19,3,16,1
16441,79,79,3,3,346,346,3,1976,4693,6,157,156,1,1
16442,11,10,2,1,16,10,7,501,492,9,4,1,3,1
16443,60,57,5,2,853,827,27,2086,2412,68,13,6,7,1
16444,6,3,2,2,64,19,14,116,34,23,3,2,1,1
16445,4,3,2,1,31,30,2,43,39,4,2,1,1,1
16446,2,2,1,1,6,6,2,16,10,4,4,3,1,1
16447,52,46,8,2,297,285,13,1147,1215,77,17,13,4,1
16448,25,13,16,4,117,62,56,1721,1081,1189,26,16,10,1
16449,23,19,5,1,38,22,17,99,62,52,6,4,2,1
16450,5,1,5,1,91,1,91,779,6,947,5,1,4,1
16451,34,28,10,4,54,42,15,847,2470,250,23,21,2,1
16452,23,19,5,1,38,22,17,99,62,52,6,4,2,1
16453,271,266,12,7,1538,351,1194,42942,15902,81739,19,3,16,1
16454,10,2,9,1,21,2,20,63,7,55,4,2,2,1
16455,130,95,121,86,1141,974,249,5234,4652,500,6,2,4,1
16456,3,3,1,1,3,3,1,21,12,8,2,1,1,1
16457,8,8,1,1,26,26,1,121,169,16,19,18,1,1
16458,249,203,156,110,779,567,328,5978,5083,1248,66,58,8,1
16459,7,2,6,1,39,4,36,95,15,85,5,4,1,1
16460,34,28,10,4,54,42,15,847,2470,250,23,21,2,1
16461,61,14,49,2,275,21,255,1056,43,1012,13,7,6,1
16462,9,1,9,1,37,1,37,78,2,97,38,1,37,1
16463,59,11,55,7,307,32,281,1875,149,3326,117,8,109,1
16464,1,1,1,1,37,37,1,100,284,11,62,61,1,1
16465,1,1,1,1,16,13,4,39,34,7,11,10,1,1
16466,188,186,14,12,660,650,19,8491,9924,213,81,76,5,1
16467,27,6,22,1,59,9,51,655,167,893,16,2,14,1
16468,62,2,61,1,745,2,744,2982,53,3107,21,3,18,1
16469,11,10,2,1,67,64,4,537,530,6,3,1,2,1
16470,22,1,22,1,387,284,150,4335,1182,71044,324,1,324,1
16471,30,26,5,1,77,73,5,980,1495,96,26,24,2,1
16472,136,17,128,9,682,46,649,5691,854,20307,262,18,244,1
16473,73,72,6,5,319,303,19,2982,4534,195,123,121,2,1
16474,11,11,3,3,177,172,7,1208,9022,64,106,104,2,1
16475,403,400,6,3,1344,1340,7,29458,58366,34,422,417,5,1
16476,19,4,16,1,32,6,27,992,295,1175,22,4,18,1
16477,17,17,2,2,683,661,25,9559,9032,580,35,33,2,1
