,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
13502,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,19,11,7,2,1,1,1
13503,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,102,5,17,5,324,12,44,16770,39,2754,8,2,6,1
13504,2,0,2,6,1,5,1,1,1,7,0,7,8,1,7,0,46,7,44,5,194,19,180,1572,79,2037,76,2,74,1
13505,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,10,2,9,1,52,38,16,561,296,264,2,1,1,1
13506,5,2,4,8,2,6,0,0,0,13,4,9,13,4,10,1,120,38,88,6,349,135,216,1750,1004,945,43,14,29,1
13507,2,0,2,1,1,0,2,1,1,1,0,1,3,1,2,0,15,12,6,3,94,20,75,357,211,219,7,2,5,1
13508,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,6,3,2,3,2,1,1
13509,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,23,4,21,2,84,28,57,303,121,181,3,2,1,1
13510,3,0,3,3,3,2,1,1,1,5,2,3,6,3,5,2,144,130,15,1,195,145,51,2876,2670,263,26,10,16,1
13511,1,0,1,59,1,58,1,1,1,59,0,59,60,1,59,0,23,1,23,1,82,1,82,403,10,1715,86,1,85,1
13512,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,9,3,9,3,56,9,50,210,51,174,6,4,2,1
13513,1,0,1,20,1,19,1,1,1,20,0,20,21,1,20,0,2,1,2,1,275,1,275,893,21,1201,47,1,46,1
13514,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,77,27,56,6,242,192,56,1516,1809,187,22,20,2,1
13515,1,0,1,1,1,1,2,1,1,0,0,0,2,1,2,1,49,4,47,2,313,195,134,25008,20564,33477,29,2,28,1
13516,1,1,1,3,0,3,1,1,1,3,0,3,4,1,4,1,12,4,10,2,25,4,22,59,9,65,10,1,9,1
13517,2,1,2,3,0,3,1,1,1,4,0,4,5,1,5,1,35,5,33,3,167,28,148,8201,1275,8268,38,4,34,1
13518,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,2,2,1,1,22,22,1,40,37,2,2,1,1,1
13519,0,0,0,4,2,4,0,0,0,4,2,2,2,1,2,1,37,3,35,1,130,41,99,919,814,1356,20,2,18,1
13520,3,1,3,21,0,21,1,1,1,23,0,23,24,1,24,1,295,1,295,1,985,4,983,7195,8,9209,115,1,114,1
13521,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,23,22,4,3,83,79,5,240,222,33,9,6,3,1
13522,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,15,11,5,1,77,58,19,4548,2688,1853,4,3,1,1
13523,1,1,0,9,1,8,1,0,0,9,2,7,10,2,8,0,111,31,85,5,369,146,225,3631,1818,3243,78,42,36,1
13524,2,0,2,40,1,39,1,1,1,41,0,41,42,1,41,0,334,3,334,3,1943,3,1939,10082,40,23241,520,1,519,1
13525,0,0,0,7,1,7,1,1,1,6,0,6,7,1,7,1,27,2,26,1,79,5,76,1820,574,2157,27,8,19,1
13526,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,48,3,8,3,162,8,20,14520,15,2404,7,3,4,1
13527,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,13,4,10,1,46,26,21,90,47,42,3,1,2,1
13528,1,1,1,1,1,0,1,0,0,1,1,0,2,2,1,1,42,40,4,2,82,79,4,631,1261,6,23,20,3,1
13529,3,1,2,3,0,3,1,1,1,5,0,5,6,1,5,0,19,5,15,1,67,23,45,248,83,164,17,1,16,1
13530,1,0,1,9,1,8,2,1,1,8,0,8,10,1,9,0,165,15,153,3,399,19,384,1709,252,1824,46,6,40,1
13531,2,2,0,21,20,1,1,0,0,22,22,0,23,22,1,0,133,132,3,2,147,141,7,25426,431851,22,356,351,5,1
13532,0,0,0,10,1,9,1,1,1,9,0,9,10,1,9,0,7,1,7,1,9,1,9,24,3,27,12,1,11,1
13533,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,5,5,1,1,28,28,1,83,79,3,2,1,1,1
13534,1,1,0,5,4,1,1,0,0,5,5,0,6,5,1,0,1,1,1,1,10,10,1,25,24,6,11,10,1,1
13535,2,2,0,13,12,1,2,1,1,13,13,0,15,14,1,0,102,102,3,3,383,380,4,1795,7347,10,97,96,1,1
13536,4,4,0,6,5,1,1,0,0,9,9,0,10,9,1,0,40,40,2,2,185,184,2,929,1422,10,33,32,1,1
13537,3,2,3,4,0,4,2,1,1,5,0,5,7,2,7,2,99,10,92,3,422,34,388,1544,199,1387,31,8,23,1
13538,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,7,3,5,1,10,3,8,21,8,12,2,1,1,1
13539,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,15,15,3,3,75,70,7,1562,1597,16,12,10,2,1
13540,1,0,1,8,1,7,2,1,1,7,0,7,9,1,8,0,2,1,2,1,259,2,259,874,16,1083,19,1,18,1
13541,2,2,1,2,0,2,1,1,1,3,1,2,4,2,3,1,66,53,15,2,457,423,35,10920,53108,175,62,46,16,1
13542,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,2,1,1,11,11,1,107,368,2,10,9,1,1
13543,1,0,1,41,1,40,1,1,1,41,0,41,42,1,41,0,11,1,11,1,45,1,45,229,10,1156,53,1,52,1
13544,3,0,3,2,1,1,2,1,1,3,0,3,5,1,4,0,333,32,332,31,4441,66,4376,14286,98,15748,20,3,17,1
13545,1,1,1,2,0,2,1,1,1,2,0,2,3,1,3,1,70,61,23,14,119,86,50,621,181,1415,27,6,21,1
13546,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,8,8,3,3,863,855,10,5081,7112,39,11,10,1,1
13547,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,9,8,5,5,480,88,404,1259,583,664,4,2,2,1
13548,1,0,1,58,1,57,1,1,1,58,0,58,59,1,58,0,3,1,3,1,202,1,202,714,6,2290,189,1,188,1
13549,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,18,15,5,2,55,47,7,447,231,133,6,4,2,1
13550,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,7,4,5,2,241,237,5,11168,6226,4941,4,2,2,1
13551,0,0,0,3,1,2,1,1,1,2,0,2,3,1,2,0,2,1,2,1,3,2,2,7,3,3,4,2,2,1
13552,1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,26,1,26,1,67,2,66,933,25,1032,13,1,12,1
13553,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,3,1,3,1,19,1,19,63,22,41,3,1,2,1
13554,1,1,0,14,13,1,1,0,0,14,14,0,15,14,1,0,12,12,1,1,129,129,1,794,1249,5,38,37,1,1
13555,2,1,1,7,6,1,1,0,0,8,7,1,9,7,2,0,26,21,6,1,260,193,69,1247,1210,1539,61,26,35,1
13556,6,0,6,13,1,12,1,1,1,18,0,18,19,1,18,0,13,1,13,1,50,1,50,618,71,1118,39,1,38,1
13557,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,16,12,6,2,23,18,6,141,223,23,8,5,3,1
13558,2,2,2,3,3,0,0,0,0,5,5,0,5,5,2,2,19,15,6,2,48,39,10,236,292,19,18,13,5,1
13559,0,0,0,38,2,38,0,0,0,38,2,36,19,1,19,1,18,2,18,2,338,68,276,835,564,1418,97,5,92,1
13560,2,2,1,0,0,0,1,0,0,1,1,0,2,2,1,1,36,6,2,2,1056,122,59,5496,1102,345,14,13,1,1
13561,0,0,0,5,5,1,1,0,0,4,4,0,5,5,1,1,1,1,1,1,6,6,1,13,9,3,7,6,1,1
13562,6,6,0,87,86,1,1,0,0,92,92,0,93,92,1,0,248,248,1,1,908,901,9,7251,26007,45,303,302,1,1
13563,1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,1,9,7,4,2,14,10,5,276,429,13,6,5,1,1
13564,2,0,2,27,1,27,1,1,1,28,0,28,29,1,29,1,359,118,253,12,2812,1388,1432,19144,5429,19440,159,29,130,1
13565,3,0,3,6,1,5,1,1,1,8,0,8,9,1,8,0,53,3,53,3,1096,14,1086,2076,92,2770,54,3,51,1
13566,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,12,11,2,1,16,11,6,27,13,14,3,1,2,1
13567,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,2,2,1,1,3,3,2,42,36,4,2,1,1,1
