Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
KNN,social,Over,0,0.74,0.99,0.73,0.84,0.83,0.74,"('n_neighbors:', 300, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.74,0.15,0.92,0.26,0.83,0.74,"('n_neighbors:', 300, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.74,0.99,0.73,0.84,0.82,0.74,"('n_neighbors:', 300, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,1,0.74,0.15,0.92,0.26,0.82,0.74,"('n_neighbors:', 300, ' weights:', 'uniform', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,0,0.81,0.98,0.82,0.89,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,1,0.81,0.16,0.65,0.25,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'auto')"
KNN,social,Over,0,0.82,0.98,0.83,0.90,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.82,0.16,0.62,0.26,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.82,0.98,0.83,0.90,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.82,0.16,0.63,0.26,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.81,0.98,0.82,0.89,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,1,0.81,0.16,0.65,0.25,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'manhattan', ' algorithm', 'brute')"
KNN,social,Over,0,0.81,0.98,0.82,0.89,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,1,0.81,0.16,0.65,0.25,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'auto')"
KNN,social,Over,0,0.82,0.98,0.83,0.90,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,1,0.82,0.16,0.63,0.26,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'ball_tree')"
KNN,social,Over,0,0.82,0.98,0.83,0.90,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,1,0.82,0.16,0.63,0.26,0.73,0.82,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'kd_tree')"
KNN,social,Over,0,0.81,0.98,0.82,0.89,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,1,0.81,0.16,0.65,0.25,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'distance', ' metrics:', 'minkowski', ' algorithm', 'brute')"
KNN,social,Over,0,0.81,0.98,0.82,0.89,0.73,0.81,"('n_neighbors:', 1, ' weights:', 'uniform', ' metrics:', 'manhattan', ' algorithm', 'auto')"
