"","influencing.factor","Role","X.MS","X.CMS","X.CMS.by..MS"
"1","general","top",45297,3290,7.26317416164426
"2","general","occasional",60609,3409,5.62457720800541
"3","target","top",33872,2301,6.79322153991497
"4","target","occasional",46826,2745,5.8621278776748
"5","source","top",20925,2590,12.3775388291517
"6","source","occasional",35086,2970,8.46491478082426
"7","One","top",15172,296,1.95096229897179
"8","One","occasional",22597,189,0.836394211621012
"9","MoreThanOne","top",30125,2994,9.93858921161826
"10","MoreThanOne","occasional",38012,3220,8.47100915500368
