,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
28173,28174,21,22964,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
65440,65441,79,108828,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,10,1,10,1,37,1,36,283,1,282,2,1,1
63353,63354,77,104554,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,15,15,0,1,1,0
31666,31667,23,97549,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,5,4,1,0,13,12,1,52,41,11,4,3,1
34010,34011,25,25596,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,3,1,2,0,5,1,4,12,2,10,2,1,1
56839,56840,63,36018,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,3,3,0,5,5,0,2,2,0
27767,27768,19,116993,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,11,11,0,0,27,27,0,152,152,0,2,2,0
29365,29366,23,19583,0,1,1,0,2,2,0,3,0,3,0,0,0,3,3,0,0,2,2,0,0,12,12,0,13,15,0,13,13,0
43734,43735,42,102092,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,22,4,18,0,69,29,40,1860,99,2110,4,1,3
12065,12066,13,8874,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,1,0,0,4,2,0,14,7,0,1,1,0
52637,52638,57,28169,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,7,7,0,7,7,0,2,2,0
27747,27748,19,116687,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,8,8,0,47,50,0,3,3,0
76025,76026,101,132652,0,2,2,0,41,41,1,1,0,0,42,42,0,43,43,1,1,89,88,1,0,464,456,8,2875,11182,26,149,148,1
8577,8578,9,51038,0,0,0,0,12,10,2,0,0,0,12,10,2,6,5,1,0,19,18,1,0,75,25,50,141,134,148,6,5,1
12290,12291,13,19215,0,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,8,3,1,0,16,6,2,36,16,2,4,3,1
33716,33717,24,55318,0,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,4,1,3,0,4,1,3,11,1,10,2,1,1
78133,78134,103,132189,0,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,7,6,1,9,8,1,3,2,1
67143,67144,81,111150,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0
1827,1828,6,89239,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0
5667,5668,9,2476,0,2,0,2,0,0,0,2,2,2,0,0,0,1,0,1,0,1,0,1,0,2,0,2,35,0,138,2,0,2
16975,16976,13,80811,0,0,0,0,2,2,1,1,1,0,1,1,0,2,2,1,1,3,3,1,1,6,4,2,24,13,11,4,3,1
57760,57761,66,30589,0,4,4,1,6,6,0,1,0,0,9,9,0,10,10,1,1,1,1,1,1,15,14,1,28,32,5,15,14,1
72841,72842,94,110583,0,3,3,0,5,4,1,1,0,0,7,7,0,8,7,1,0,1,1,1,1,10,9,1,10,9,1,8,7,1
