,ms_id,n_chunks,n_conf_chunks,loc_conf,loc_safe,avg_loc_chunks,avg_loc_conf_chunks,avg_loc_safe_chunks
66,1734.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
67,1746.0,7.0,0.0,0.0,7.0,1.0,0.0,1.0
68,1759.0,18.0,0.0,0.0,43.0,2.388888888888889,0.0,2.388888888888889
69,1779.0,11.0,1.0,5.0,16.0,1.9090909090909092,5.0,1.6
70,1792.0,24.0,0.0,0.0,63.0,2.625,0.0,2.625
71,1807.0,89.0,2.0,22.0,726.0,8.404494382022472,11.0,8.344827586206897
72,1818.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
73,1823.0,120.0,6.0,66.0,1086.0,9.6,11.0,9.526315789473685
74,1825.0,41.0,1.0,11.0,139.0,3.658536585365854,11.0,3.475
75,1835.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
76,1839.0,683.0,3.0,236.0,8928.0,13.41727672035139,78.66666666666667,13.129411764705882
77,1859.0,174.0,6.0,24.0,318.0,1.9655172413793103,4.0,1.8928571428571428
78,1861.0,41.0,0.0,0.0,753.0,18.365853658536587,0.0,18.365853658536587
79,1864.0,12.0,1.0,5.0,17.0,1.8333333333333333,5.0,1.5454545454545454
80,1875.0,29.0,1.0,59.0,125.0,6.344827586206897,59.0,4.464285714285714
81,1879.0,17.0,1.0,6.0,34.0,2.3529411764705883,6.0,2.125
82,1903.0,230.0,7.0,158.0,4863.0,21.830434782608695,22.571428571428573,21.807174887892376
83,1913.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
84,1922.0,486.0,6.0,24.0,1722.0,3.5925925925925926,4.0,3.5875
85,1925.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0
86,1958.0,2.0,1.0,4.0,5.0,4.5,4.0,5.0
87,1963.0,374.0,6.0,82.0,1038.0,2.9946524064171123,13.666666666666666,2.8206521739130435
88,1969.0,1116.0,84.0,1536.0,1860.0,3.043010752688172,18.285714285714285,1.802325581395349
89,1972.0,494.0,1.0,4.0,6272.0,12.704453441295547,4.0,12.72210953346856
90,1990.0,6.0,1.0,6.0,5.0,1.8333333333333333,6.0,1.0
91,2010.0,35.0,1.0,32.0,258.0,8.285714285714286,32.0,7.588235294117647
92,2025.0,29.0,2.0,17.0,61.0,2.689655172413793,8.5,2.259259259259259
93,2046.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
94,2062.0,14.0,1.0,13.0,21.0,2.4285714285714284,13.0,1.6153846153846154
95,2073.0,11.0,1.0,21.0,65.0,7.818181818181818,21.0,6.5
96,2078.0,16.0,0.0,0.0,384.0,24.0,0.0,24.0
97,2109.0,2.0,0.0,0.0,5.0,2.5,0.0,2.5
