,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
30105,30106,23,21865,1,2,0,2,3,1,3,1,1,1,4,0,4,5,1,5,1,3,1,3,1,8,1,8,12,2,9,8,1,7
25596,25597,19,37801,1,3,1,3,6,1,6,2,1,1,7,0,7,9,2,9,2,65,16,52,3,1333,50,1284,9275,12422,8758,140,73,67
11309,11310,12,25057,1,2,2,1,2,2,0,2,1,1,2,2,0,4,4,1,1,35,34,3,2,159,155,5,696,862,11,26,25,1
28388,28389,21,97782,1,12,0,12,36,1,35,1,1,1,47,0,47,48,1,47,0,418,9,413,4,2852,37,2818,22172,218,22929,101,2,99
23910,23911,17,76482,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,1,21,16,4,2,1,1
10802,10803,12,8005,1,1,1,0,4,4,1,1,0,0,4,4,0,5,5,1,1,175,174,2,2,557,552,6,10355,17459,322,126,124,2
15256,15257,13,59739,1,1,0,1,3,1,3,2,1,1,2,0,2,4,1,4,1,106,3,52,2,780,10,382,12154,12,6301,79,1,78
27217,27218,19,80333,1,1,1,0,7,7,5,0,0,0,8,8,0,8,8,5,5,63,62,6,5,234,231,9,983,1017,21,32,26,6
77559,77560,103,129854,1,2,1,2,0,0,0,1,1,1,1,0,1,2,1,2,1,23,6,20,3,374,110,273,2672,38631,1369,83,59,24
44112,44113,45,4432,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,14,12,5,3,442,420,24,827,792,67,5,2,3
18866,18867,15,83344,1,2,1,1,6,4,3,0,0,0,8,5,3,8,5,4,1,10,7,6,3,35,30,7,533,154,1661,25,19,6
