,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
379,5,4,1,0,18,16,2,72,111,2,6,5,1,0
380,7,1,6,0,12,2,10,36,2,34,2,1,1,0
381,2,2,0,0,2,2,0,11,11,0,1,1,0,0
382,1,1,0,0,1,1,0,1,1,0,1,1,0,0
383,4,3,1,0,19,17,2,349,614,84,5,4,1,0
384,5,4,1,0,21,20,1,82,144,1,6,5,1,0
385,4,4,0,0,4,4,0,16,16,0,1,1,0,0
386,1,1,0,0,1,1,0,1,1,0,1,1,0,0
387,4,3,1,0,11,6,5,22,12,10,5,4,1,0
388,1,1,0,0,1,1,0,1,1,0,1,1,0,0
389,5,2,3,0,13,5,8,104,5,99,2,1,1,0
390,23,0,23,0,55,0,55,244,0,417,11,0,11,0
391,1,0,1,0,1,0,1,1,0,1,1,0,1,0
392,28,27,1,0,301,298,3,3206,9346,6,51,50,1,0
393,1,1,0,0,1,1,0,1,1,0,1,1,0,0
394,5,4,1,0,21,12,9,76,43,33,6,5,1,0
395,4,2,2,0,4,2,2,42,38,23,3,2,1,0
396,1,1,0,0,1,1,0,1,1,0,1,1,0,0
397,2,1,1,0,2,1,1,2,1,1,2,1,1,0
398,1,1,0,0,1,1,0,1,1,0,1,1,0,0
399,2,1,1,0,5,1,4,10,2,18,2,1,1,0
400,9,9,0,0,26,26,0,26,26,0,1,1,0,0
401,5,0,5,0,8,0,8,43,0,43,4,0,4,0
402,4,4,0,0,7,7,0,13,13,0,1,1,0,0
403,17,1,16,0,31,1,30,708,1,2038,15,1,14,0
404,1,1,0,0,1,1,0,1,1,0,1,1,0,0
405,6,5,1,0,20,19,1,312,179,133,2,2,1,0
406,7,1,6,0,27,1,26,207,1,563,7,1,6,0
407,84,84,0,0,1144,1144,0,7534,15900,0,58,58,0,0
408,1,0,1,0,3,0,3,10,0,10,1,0,1,0
409,7,4,4,1,15,4,11,44,22,22,5,1,4,0
410,1,1,0,0,1,1,0,57,57,0,1,1,0,0
411,4,4,0,0,8,8,0,12,14,0,7,7,0,0
412,12,12,0,0,39,39,0,110,131,0,14,14,0,0
413,42,41,1,0,88,87,1,3045,7674,136,38,37,1,0
414,43,42,2,1,100,94,6,1147,1135,12,2,1,1,0
415,18,1,3,1,54,1,8,228,1,39,4,1,3,0
416,2,2,0,0,2,2,0,10,10,0,1,1,0,0
417,1,1,0,0,1,1,0,2,2,0,1,1,0,0
418,9,1,8,0,9,1,8,5226,96,10356,2,1,1,0
419,29,27,2,0,128,126,2,2146,2882,1838,31,24,7,0
420,7,7,0,0,19,19,0,537,4033,0,22,22,0,0
421,1,1,0,0,1,1,0,5,5,0,1,1,0,0
422,2,2,0,0,10,10,0,60,60,0,1,1,0,0
423,1,1,0,0,1,1,0,10,10,0,1,1,0,0
424,64,0,64,0,698,0,698,16743,0,21781,30,0,30,0
425,3,3,0,0,18,18,0,66,66,0,1,1,0,0
426,2,1,1,0,2,1,1,2,1,1,2,1,1,0
427,1,1,0,0,1,1,0,1,1,0,1,1,0,0
428,22,22,1,1,112,110,2,675,1319,73,43,40,3,0
429,29,1,29,1,117,1,116,398,1,739,26,1,25,0
430,6,5,1,0,13,12,1,96,98,1,6,5,1,0
431,1,1,0,0,1,1,0,4,4,0,1,1,0,0
432,2,2,0,0,2,2,0,6744,6744,0,1,1,0,0
433,31,31,0,0,101,101,0,422,499,0,25,25,0,0
434,9,9,0,0,27,27,0,150,150,0,4,4,0,0
435,2,1,1,0,3,2,1,4,3,1,3,2,1,0
436,41,20,21,0,166,81,85,2501,1351,1512,13,5,8,0
437,6,1,1,1,90,1,14,282,1,54,4,1,3,0
438,27,1,27,1,116,1,115,392,1,568,20,1,19,0
439,3,3,0,0,6,6,0,12,12,0,1,1,0,0
440,5,4,1,0,7,6,1,85,83,2,4,3,1,0
441,3,3,0,0,54,54,0,79,79,0,2,2,0,0
