,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
85,1,1,0,8,7,1,1,0,0,8,8,0,9,8,1,0,0
86,2,0,2,9,0,9,11,11,10,0,0,0,11,0,11,0,0
87,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
88,1,1,0,3,3,1,1,0,0,3,3,0,4,4,1,1,0
89,3,3,0,2,1,1,2,1,1,3,3,0,5,4,1,0,0
90,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,0
91,2,2,0,5,3,2,1,0,1,6,5,1,7,5,2,0,0
92,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
93,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
94,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
95,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
96,1,1,0,3,3,0,4,0,4,0,0,0,4,4,0,0,0
97,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
98,1,0,1,3,0,3,4,4,4,0,0,0,4,0,4,0,0
99,2,2,0,14,13,1,1,0,0,15,15,0,16,15,1,0,0
100,1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,0
101,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
102,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
103,2,0,2,3,0,3,5,5,5,0,0,0,5,0,5,0,0
104,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
105,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
106,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
107,1,1,0,11,10,1,1,0,0,11,11,0,12,11,1,0,0
108,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
109,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
110,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
111,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
112,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
113,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
114,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
115,2,2,0,2,2,0,4,0,4,0,0,0,4,4,0,0,0
116,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
117,2,0,2,14,2,13,0,0,0,16,2,14,16,2,15,1,0
118,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
119,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
120,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
121,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
122,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,0
123,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
124,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
125,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
126,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
127,0,0,0,8,6,2,0,0,0,8,6,2,4,3,1,0,0
128,0,0,0,6,5,1,1,0,0,5,5,0,6,5,1,0,0
129,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
130,2,1,1,1,0,1,1,1,1,2,0,2,3,1,2,0,0
131,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
132,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
133,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
134,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,0
135,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
136,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
137,0,0,0,3,0,3,3,3,3,0,0,0,3,0,3,0,0
138,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
139,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
140,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
141,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
142,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
143,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
144,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
145,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
146,1,1,0,33,32,1,1,0,0,33,33,0,34,33,1,0,0
147,2,1,1,1,0,1,1,1,1,2,0,2,3,1,2,0,0
148,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
149,1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,0
150,0,0,0,6,4,2,0,0,0,6,4,2,3,2,1,0,0
151,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
152,4,4,0,0,0,0,4,1,4,0,0,0,4,4,0,0,0
153,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
154,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
155,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
156,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
157,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
158,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
159,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
160,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
161,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
162,2,2,0,1,1,0,3,0,3,0,0,0,3,3,0,0,0
163,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
164,0,0,0,4,4,0,4,1,4,0,0,0,4,4,0,0,0
165,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
166,11,11,0,97,97,1,1,0,0,107,107,0,108,108,1,1,0
167,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
168,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
169,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
170,2,2,0,1,0,1,1,0,0,2,2,0,3,2,1,0,0
171,2,1,2,1,0,1,2,1,1,1,0,1,3,1,3,1,0
172,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
173,0,0,0,6,4,2,0,0,0,6,4,2,3,2,1,0,0
