,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,has_conflict
2526,0,0,0,18,18,2,0,0,0,18,18,0,9,9,1,1,0
2527,5,0,5,28,0,28,33,33,33,0,0,0,33,0,33,0,0
2528,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
2529,0,0,0,2,0,2,2,2,2,0,0,0,2,0,2,0,0
2530,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2531,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
2532,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2533,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2534,4,4,0,17,17,0,21,0,21,0,0,0,21,21,0,0,0
2535,1,1,0,2,2,0,3,0,3,0,0,0,3,3,0,0,0
2536,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2537,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2538,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2539,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,0
2540,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2541,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2542,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2543,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,0
2544,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2545,3,1,2,2,0,2,1,1,1,4,0,4,5,1,4,0,0
2546,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2547,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2548,0,0,0,2,2,2,0,0,0,2,2,0,1,1,1,1,0
2549,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2550,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
2551,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2552,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2553,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,0
2554,2,2,0,1,0,1,2,1,1,1,1,0,3,2,1,0,0
2555,1,0,1,1,0,1,2,2,2,0,0,0,2,0,2,0,0
2556,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,0
2557,0,0,0,2,2,0,2,0,2,0,0,0,2,2,0,0,0
2558,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0
2559,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2560,3,3,0,5,4,1,1,0,0,7,7,0,8,7,1,0,0
2561,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2562,0,0,0,2,0,2,2,2,2,0,0,0,1,0,1,0,0
2563,3,3,0,6,6,0,9,0,9,0,0,0,9,9,0,0,0
2564,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0
2565,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2566,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0
2567,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
2568,2,2,0,4,3,1,2,1,1,4,4,0,6,5,1,0,0
2569,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,0
2570,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2571,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0
2572,2,1,1,3,3,0,1,0,0,4,4,0,5,4,1,0,0
2573,2,1,1,2,2,0,1,0,0,3,3,0,4,3,1,0,0
2574,1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,0
