,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
2097,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,11,11,0,1,1,0,0
2098,0,0,0,2,0,2,2,2,1,0,0,0,2,0,2,0,2,0,2,0,2,0,2,8,0,8,2,0,2,0
2099,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,2,0,2,0,13,0,13,173,0,375,6,0,6,0
2100,0,0,0,8,8,0,8,0,8,0,0,0,8,8,0,0,16,16,0,0,45,45,0,158,176,0,15,15,0,0
2101,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2102,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,2,2,0,0,2,2,0,2,2,0,2,2,0,0
2103,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,2,0,1,1,0,0
2104,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,13,13,0,2,2,0,0
2105,2,2,1,0,0,0,2,1,1,0,0,0,2,2,1,1,21,7,14,0,58,30,28,121,94,29,16,10,6,0
2106,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
2107,1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,2,2,0,0,25,25,0,95,123,0,2,2,0,0
2108,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,6,6,0,122,138,0,3,3,0,0
2109,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2110,4,4,0,81,81,0,85,0,85,0,0,0,85,85,0,0,193,193,0,0,4638,4638,0,41070,145849,0,751,751,0,0
2111,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,5,5,0,9,9,0,2,2,0,0
2112,1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,5,5,1,1,9,8,1,11,9,2,4,3,1,0
2113,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,6,0,6,0,398,0,398,575,0,575,1,0,1,0
2114,0,0,0,2,2,0,2,0,2,0,0,0,2,2,0,0,1,1,0,0,1,1,0,3,6,0,2,2,0,0
2115,1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,2,1,1,0,4,2,2,5,2,3,2,1,1,0
2116,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,12,12,0,0,151,151,0,710,710,0,2,2,0,0
2117,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2118,1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,1,1,1,1,4,2,2,56,2,54,3,2,1,0
2119,1,0,1,1,0,1,2,2,1,0,0,0,2,0,2,0,53,0,53,0,55,0,55,128,0,128,4,0,4,0
2120,0,0,0,3,0,3,3,3,3,0,0,0,3,0,3,0,3,0,3,0,3,0,3,6,0,6,3,0,3,0
2121,1,1,0,6,5,1,1,0,0,6,6,0,7,6,1,0,8,7,1,0,15,14,1,29,28,1,12,11,1,0
2122,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,4,4,0,14,14,0,1,1,0,0
2123,1,1,0,4,3,1,1,0,0,4,4,0,5,4,1,0,1,1,1,1,6,5,1,6,5,1,6,5,1,0
2124,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2125,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,15,5,10,0,27,5,22,62,15,47,9,3,6,0
2126,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,5,5,0,15,15,0,1,1,0,0
2127,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,8,24,0,3,3,0,0
2128,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2129,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,8,7,1,0,178,177,1,429,424,5,2,1,1,0
2130,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,2,0,0,4,2,0,10,5,0,1,1,0,0
2131,0,0,0,3,2,1,2,1,1,1,1,0,3,2,1,0,30,23,7,0,61,54,7,1503,251,1252,3,2,1,0
2132,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,8,3,5,0,42,11,31,81,12,69,2,1,1,0
2133,3,3,0,11,10,1,1,0,0,13,13,0,14,13,1,0,280,279,1,0,621,618,3,2997,3727,49,61,60,1,0
2134,2,2,0,3,3,0,5,0,5,0,0,0,5,5,0,0,21,21,0,0,63,63,0,502,580,0,23,23,0,0
2135,1,0,1,3,3,0,1,0,0,3,3,0,4,3,1,0,5,1,4,0,8,4,4,227,5,440,7,4,3,0
2136,2,2,0,1,0,1,1,0,0,2,2,0,3,2,1,0,4,2,3,1,6,3,3,32,53,3,5,4,1,0
2137,2,0,2,5,0,5,7,7,7,0,0,0,7,0,7,0,17,0,17,0,55,0,55,579,0,579,9,0,9,0
2138,0,0,0,4,3,1,2,1,1,2,2,0,4,3,1,0,30,29,1,0,35,34,1,2807,2806,1,4,3,1,0
2139,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2140,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2141,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,4,0,4,0,18,0,18,67,0,67,1,0,1,0
2142,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,4,4,0,9,9,0,1,1,0,0
2143,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,12,12,0,0,35,35,0,54,54,0,12,12,0,0
2144,0,0,0,4,4,1,2,1,1,2,2,0,4,4,1,1,7,5,2,0,9,6,3,90,87,3,5,4,1,0
2145,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,12,4,2,0,42,4,17,126,4,59,5,1,4,0
2146,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,0,2,1,1,0,2,1,1,2,2,2,2,1,1,0
2147,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,10,0,10,0,67,0,67,339,0,339,1,0,1,0
2148,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,2,0,2,1,0,1,0
2149,2,2,2,0,0,0,1,1,1,1,1,0,2,2,2,2,10,7,3,2,164,153,9,196,175,11,6,3,3,0
2150,4,4,0,1,1,0,5,1,5,0,0,0,5,5,0,0,54,54,0,0,219,219,0,329,341,0,12,12,0,0
2151,3,3,0,8,7,1,1,0,0,10,10,0,11,10,1,0,42,41,1,0,85,79,6,403,379,75,24,22,2,0
2152,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2153,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,5,10,0,2,2,0,0
2154,3,3,1,16,16,0,1,0,0,18,18,0,19,19,1,1,309,303,6,0,1103,1097,6,5045,13310,305,273,273,3,0
2155,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,5,5,0,5,5,0,1,1,0,0
2156,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
2157,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,3,1,2,0,3,1,2,438,1,437,2,1,1,0
